,Company,"Street, no., building etc, line 1",City,Country,"NACE Rev. 2
Core code (4 digits)","Operating
revenue
(Turnover)
m EUR
2017","Operating
revenue
(Turnover)
m EUR
2016","Operating
revenue
(Turnover)
m EUR
2015","Operating
revenue
(Turnover)
m EUR
2014","Operating
revenue
(Turnover)
m EUR
2013","Operating
revenue
(Turnover)
m EUR
2012","Operating
revenue
(Turnover)
m EUR
2011","Operating
revenue
(Turnover)
m EUR
2010","Operating
revenue
(Turnover)
m EUR
2009","Operating
revenue
(Turnover)
m EUR
2008","Number of employees
2017","Number of employees
2016","Number of employees
2015","Number of employees
2014","Number of employees
2013","Number of employees
2012","Number of employees
2011","Number of employees
2010","Number of employees
2009","Number of employees
2008"
360.,Theodor Leisse GmbH & Co. KG,Lagerstr. 3 -5,Meschede,Germany,2391,n.a.,n.a.,n.a.,18,17,16,16,n.a.,n.a.,n.a.,112,106,98,98,98,98,75,n.a.,n.a.,n.a.
14.,"Thomas H. Lee Partners, L.P.",100 Federal St,Boston,United States of America,6612,"2,539",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,75,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
27.,Thüringer Energie AG,Schwerborner Str. 30,Erfurt,Germany,3500,n.a.,n.a.,"1,617","1,614","1,685","1,600",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"1,694","1,568","1,376","1,419",n.a.,n.a.,n.a.,n.a.
200.,Thüringer Hygiene Papier GmbH,Unterm Bahnhof 13,Schmalkalden,Germany,1722,n.a.,n.a.,41,37,36,35,43,50,50,60,n.a.,n.a.,121,111,113,109,93,86,86,85
94.,Thyssengas GmbH,Emil-Moog-Platz 13,Dortmund,Germany,7490,n.a.,245,222,233,239,233,n.a.,n.a.,193,117,n.a.,283,277,275,278,277,n.a.,n.a.,185,n.a.
354.,ThyssenKrupp Electrical Steel GmbH,Kurt-Schumacher-Str. 95,Gelsenkirchen,Germany,4672,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"1,151","1,151","1,151","1,151","1,151","1,151","1,151",n.a.,n.a.,n.a.
356.,thyssenkrupp Hohenlimburg GmbH,Oeger Str. 120,Hagen,Germany,2410,n.a.,601,699,699,n.a.,740,791,n.a.,n.a.,n.a.,945,945,908,941,895,895,907,n.a.,n.a.,n.a.
375.,ThyssenKrupp Rasselstein GmbH,Koblenzer Str. 141,Andernach,Germany,2510,n.a.,"1,158","1,317","1,325","1,362","1,391","1,384",n.a.,n.a.,n.a.,"2,465","2,407","2,431","2,302","2,385","3,862","2,416",n.a.,n.a.,n.a.
368.,ThyssenKrupp Regional Services Germany GmbH,Altendorfer Str. 103,Essen,Germany,8299,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,2,2,3,2,2,n.a.,n.a.,n.a.
10.,ThyssenKrupp Steel Europe AG,Kaiser-Wilhelm-Str. 100,Duisburg,Germany,7010,n.a.,n.a.,"7,925","8,052","8,456","9,274",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"18,356","18,119","17,565","18,119",n.a.,n.a.,n.a.,n.a.
252.,Tidnish Holdings Limited,4881 Main St,Oxford,Canada,6420,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
134.,Tiefdruck Schwann-Bagel GmbH & Co. KG,Grafenberger Allee 82,Duesseldorf,Germany,1812,n.a.,n.a.,109,111,100,106,128,116,157,167,n.a.,n.a.,247,246,271,292,337,331,552,704
158.,TOKAI ERFTCARBON GmbH,Aluminiumstr. 4,Grevenbroich,Germany,1910,n.a.,n.a.,75,97,81,118,112,111,94,133,n.a.,n.a.,173,182,181,184,184,179,212,244
391.,"Tonwarenfabrik u. Granitwerke Fürstenzell, Ferdinand Erbersdobler KG",Gurlarn 2,Fuerstenzell,Germany,2332,n.a.,n.a.,9,9,9,9,7,6,n.a.,n.a.,n.a.,36,36,36,36,36,33,31,n.a.,n.a.
238.,Tonwerk Venus GmbH & Co KG,Ziegeleistr. 1,Schwarzach,Germany,2332,n.a.,n.a.,8,8,8,8,7,7,n.a.,n.a.,n.a.,n.a.,50,50,50,50,50,n.a.,n.a.,n.a.
282.,Torfbrand-Klinkerwerk J.B. Kaufmann GmbH,Ziegeleistr. 8,Nenndorf,Germany,2332,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3,n.a.,n.a.,28,30,30,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
342.,TOTAL Bitumen Deutschland GmbH,Industriegebiet Sued,Brunsbuettel,Germany,1920,n.a.,n.a.,n.a.,n.a.,689,720,716,n.a.,n.a.,n.a.,122,122,122,122,122,128,100,n.a.,n.a.,n.a.
348.,TOTAL Raffinerie Mitteldeutschland GmbH,Maienweg 1,Leuna,Germany,7010,n.a.,n.a.,"5,015","6,967","7,538","8,089","7,357",n.a.,n.a.,n.a.,n.a.,680,680,680,743,725,725,684,n.a.,n.a.
164.,Trans Europa Naturgas Pipeline Gesellschaft mbH & Co.KG,Gladbecker Str. 425,Essen,Germany,4950,n.a.,72,69,67,71,66,66,100,65,63,n.a.,2,2,2,2,2,2,2,2,2
204.,Trelleborg Holdings Breuberg GmbH,Handwerkstr. 5 -7,Stuttgart,Germany,6820,n.a.,n.a.,37,41,n.a.,n.a.,n.a.,n.a.,0,118,n.a.,n.a.,6,6,4,4,n.a.,n.a.,n.a.,241
99.,Trevira GmbH,Max-Fischer-Str. 11,Bobingen,Germany,1399,n.a.,234,263,253,256,241,267,251,n.a.,n.a.,n.a.,"1,042","1,052","1,067","1,092","1,151","1,179","1,219",n.a.,n.a.
256.,Trevo Aviation Ltd.,Castle Street 12,Saint Helier,Jersey (United Kingdom),,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
100.,Trianel Gaskraftwerk Hamm GmbH & Co. KG,Krefelder Str. 203,Aachen,Germany,7010,n.a.,n.a.,221,227,289,284,277,234,205,268,n.a.,n.a.,9,9,8,8,7,8,8,8
210.,Trianel Gasspeicher Epe GmbH & Co. KG,Krefelder Str. 203,Aachen,Germany,3522,n.a.,n.a.,33,34,38,40,40,34,27,20,n.a.,n.a.,6,5,2,n.a.,n.a.,n.a.,n.a.,n.a.
77.,Trianel Kohlekraftwerk Lünen GmbH & Co. KG,Frydagstr. 40,Luenen,Germany,3511,n.a.,n.a.,319,378,252,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,11,10,10,11,8,6,3,n.a.
29.,TRIMET Aluminium SE,Aluminiumallee 1,Essen,Germany,2442,n.a.,"1,371","1,526","1,190","1,212","1,337","1,438",885,827,"1,133",n.a.,"1,903","1,834","1,591","1,559","1,540","1,478","1,462","1,479","1,460"
110.,Trinseo Deutschland GmbH,Strasse E 17,Schkopau,Germany,2016,n.a.,n.a.,182,178,173,169,162,124,n.a.,n.a.,n.a.,n.a.,509,487,518,496,462,438,n.a.,n.a.
369.,TSTG Schienen Technik GmbH & Co. KG,,,Germany,2433,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,2,2,353,430,450,n.a.,n.a.,n.a.
39.,TUIfly GmbH,Flughafenstr. 10,Langenhagen,Germany,5110,n.a.,925,916,877,866,875,876,518,563,613,n.a.,"2,528","2,479","2,404","2,344","2,391","2,392","2,198","2,401",n.a.
387.,Tulip GmbH & Co. KG,,,Germany,6820,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
395.,Turk Hava Yollari Anonim Ortakligi,Havalimani Caddesi No:3/1,Bakirkoy,Turkey,5110,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"23,852",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
87.,Ulla Popken GmbH,Am Waldrand 19,Rastede,Germany,4771,n.a.,n.a.,n.a.,n.a.,209,202,200,196,176,172,n.a.,n.a.,n.a.,n.a.,"1,749","1,827","1,701","1,684",n.a.,n.a.
140.,UNIFERM GmbH & Co. KG,Brede 4,Werne,Germany,7010,n.a.,n.a.,105,107,106,106,105,103,104,98,n.a.,n.a.,383,383,404,396,399,405,392,384
92.,Unilever Deutschland Produktions GmbH & Co. OHG,Am Strandkai 1,Hamburg,Germany,1089,n.a.,n.a.,239,282,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"2,095",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
359.,UNIMELT GmbH,Werner Str. 95,Selm,Germany,3810,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,42,31,24,32,n.a.,n.a.,76,n.a.,78,n.a.,71,57,57,n.a.
41.,Uniper Energy Storage GmbH,Ruhrallee 80,Essen,Germany,0910,n.a.,n.a.,908,877,860,793,759,661,730,725,n.a.,n.a.,183,183,178,114,80,67,50,19
24.,Uniper Kraftwerke GmbH,E.ON-Platz 1,Duesseldorf,Germany,3500,n.a.,"1,772","2,521","2,682",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"1,912","2,010","2,292",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
93.,United Initiators GmbH,Dr.-Gustav-Adolph-Str. 3,Pullach,Germany,2050,n.a.,n.a.,n.a.,213,198,180,167,158,117,n.a.,n.a.,n.a.,n.a.,549,490,513,495,495,555,n.a.
4.,United Services Automobile Association,9800 Fredericksburg Rd,San Antonio,United States of America,6512,"25,392",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"17,500",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
263.,Universität Dortmund,August-Schmidt-Str. 4,Dortmund,Germany,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
265.,Universität Hohenheim,Universitaet Hohenheim,Stuttgart,Germany,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
269.,Universität Konstanz,Universitaetsstr. 10,Konstanz,Germany,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
266.,Universität Regensburg,Universitaetsstr. 31,Regensburg,Germany,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
261.,Universität Stuttgart,Keplerstr. 7,Stuttgart,Germany,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
264.,Universität Ulm,Albert-Einstein-Allee 11,Ulm,Germany,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
270.,Universitätsklinikum Würzburg,Josef-Schneider-Str.,Wuerzburg,Germany,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
302.,Universitätsklinikum Bonn,Sigmund-Freud-Str. 25,Bonn,Germany,8610,n.a.,n.a.,n.a.,n.a.,n.a.,750,738,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"5,460","5,282",n.a.,n.a.,n.a.
47.,Universitätsklinikum Düsseldorf,Moorenstr. 5,Duesseldorf,Germany,8610,n.a.,n.a.,n.a.,n.a.,631,621,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"5,037",n.a.,n.a.,n.a.,n.a.,n.a.
271.,Universitätsklinikum Freiburg,Hugstetter Str. 49,Freiburg,Germany,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
34.,Universitätskrankenhaus S-H Campus Lübeck,Ratzeburger Allee 160,Luebeck,Germany,8610,n.a.,n.a.,"1,089","1,046","1,004",983,"1,128",n.a.,n.a.,n.a.,n.a.,n.a.,"12,027","11,819","11,782","11,591","11,287",n.a.,n.a.,n.a.
45.,UPM GmbH,Georg-Haindl-Str. 5,Augsburg,Germany,1712,n.a.,n.a.,828,863,890,939,914,800,n.a.,943,n.a.,n.a.,"1,421","1,457","1,461","1,467","1,463","1,506",n.a.,"1,644"
169.,URBANA Energiedienste GmbH,Heidenkampsweg 40,Hamburg,Germany,3530,n.a.,62,80,77,87,76,78,77,45,38,n.a.,128,207,206,176,164,166,152,88,71
142.,URSA Deutschland GmbH,Carl-Friedrich-Benz-Str. 46 -48,Delitzsch,Germany,2314,n.a.,n.a.,103,99,100,106,102,96,103,114,n.a.,n.a.,261,267,276,288,288,292,291,294
7.,"US Airways, Inc","111, West Rio Salado Parkway",Tempe,United States of America,5110,n.a.,n.a.,n.a.,n.a.,"10,592","10,483","10,208","9,017","7,364","8,798",n.a.,n.a.,n.a.,n.a.,"32,100","31,200","31,500","30,900","31,300","32,700"
127.,V & B Fliesen GmbH,Rotensteiner Weg 1,Merzig,Germany,2331,n.a.,n.a.,127,114,116,127,130,126,121,132,n.a.,n.a.,761,767,778,789,795,765,783,863
258.,Vacuna Jets Limited,Appleby,Hamilton,Bermuda,5110,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
37.,Vallourec Deutschland GmbH,Theodorstr. 109,Duesseldorf,Germany,4612,n.a.,"1,015","1,078","1,617","1,649","1,731","1,971","1,602","1,816","2,911",n.a.,"3,524","3,668","3,755","3,755","3,863","3,854","3,686","3,870","3,903"
117.,Vattenfall Europe Nuclear Energy GmbH,UEberseering 12,Hamburg,Germany,6420,n.a.,n.a.,157,164,179,203,477,508,486,11,n.a.,n.a.,667,741,778,835,890,875,622,10
35.,Vattenfall Europe Wärme Aktiengesellschaft,Sellerstr. 16,Berlin,Germany,3511,n.a.,"1,089","1,026","1,053","1,156","1,779","1,917","1,814","1,739","1,240",n.a.,"1,692","1,665","1,669","1,663","1,934","2,156","2,298","2,331","1,726"
84.,Vattenfall Heizkraftwerk Moorburg GmbH,Moorburger Schanze 2,Hamburg,Germany,3511,n.a.,285,233,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,168,154,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
73.,Vattenfall Wärme Hamburg GmbH,Andreas-Meyer-Str. 8,Hamburg,Germany,3500,n.a.,341,331,326,368,168,n.a.,n.a.,n.a.,n.a.,n.a.,557,523,506,491,226,n.a.,n.a.,n.a.,n.a.
355.,VDM Metals GmbH,Plettenberger Str. 2,Werdohl,Germany,2445,n.a.,378,160,n.a.,"1,004","1,197","1,115",n.a.,n.a.,n.a.,"1,229","1,734","1,734","1,697","1,593","1,647","1,554",n.a.,n.a.,n.a.
275.,"VECELLIO MANAGEMENT SERVICES, INC.",Po Box 15065,West Palm Beach,United States of America,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
220.,Veolia Industriepark Deutschland GmbH,Boos-Fremery-Str. 62,Heinsberg,Germany,3513,n.a.,n.a.,25,25,28,28,28,36,35,46,n.a.,n.a.,55,79,78,76,84,96,120,166
64.,Verallia Deutschland AG,Oberlandstrasse,Bad Wurzach,Germany,2319,n.a.,429,69,535,522,523,519,490,533,563,n.a.,"3,103","3,101","3,154","3,160","3,334","3,389","3,516","3,925","4,251"
350.,VERBIO Ethanol Schwedt GmbH & Co. KG,Passower Chaussee 111,Schwedt,Germany,2014,n.a.,n.a.,32,33,29,16,n.a.,n.a.,n.a.,n.a.,85,85,85,91,120,81,93,n.a.,n.a.,n.a.
155.,Vereinigte Wertach Elektrizitätswerke GmbH,Neugablonzer Str. 21,Kaufbeuren,Germany,3511,n.a.,n.a.,81,82,83,75,72,63,57,50,n.a.,n.a.,98,97,94,92,94,92,87,88
197.,Versorgungsbetriebe Hoyerswerda GmbH,Strasse A 7,Hoyerswerda,Germany,3513,n.a.,n.a.,44,43,44,44,41,45,50,41,n.a.,n.a.,112,112,110,108,108,111,119,122
61.,VESTOLIT GmbH,Paul-Baumann-Str. 1,Marl,Germany,2016,n.a.,n.a.,447,455,152,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,684,692,692,1,n.a.,n.a.,n.a.,n.a.
308.,Vesuvius Becker & Piscantor Grossalmeroder Schmelztiegelwerke GmbH,Grossalmeroder Str. 18,Grossalmerode,Germany,2320,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,106
235.,VGT-DYKO GmbH,Grossalmeroder Str. 18,Grossalmerode,Germany,2320,n.a.,n.a.,11,11,10,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,90,90,80,82,86,83,98,106
242.,Viersen Energie GmbH,Grefrather Str. 120,Viersen,Germany,3511,n.a.,n.a.,4,4,3,5,6,5,n.a.,n.a.,n.a.,n.a.,2,2,3,3,3,n.a.,n.a.,n.a.
18.,Viessmann Werke GmbH & Co KG,Viessmannstr. 1,Allendorf,Germany,7010,n.a.,n.a.,"2,223","2,181","2,094","1,893","1,860",n.a.,n.a.,n.a.,n.a.,n.a.,"11,239","11,046","10,609","9,921","9,112","8,833","8,502","8,148"
46.,Villeroy & Boch AG,Saaruferstrasse,Mettlach,Germany,2341,n.a.,835,817,781,765,755,754,725,726,853,n.a.,"7,770","7,694","7,657","7,745","7,840","8,449","8,688","9,196","10,193"
43.,Vinnolit GmbH & Co. KG,Carl-Zeiss-Ring 25,Ismaning,Germany,7490,n.a.,n.a.,868,891,939,924,934,824,640,865,n.a.,n.a.,"1,234","1,255","1,277","1,285","1,301","1,312","1,312","1,356"
114.,VNG Gasspeicher GmbH,Maximilianallee 2,Leipzig,Germany,3500,n.a.,176,177,187,191,200,0,n.a.,0,0,n.a.,129,133,133,126,131,n.a.,n.a.,n.a.,n.a.
274.,Volga-Dnepr Airlines LLC,,,Russian Federation,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1.,VOLKSWAGEN AKTIENGESELLSCHAFT,Brieffach 1970,Wolfsburg,Germany,2910,n.a.,"225,372","220,590","209,118","203,170","198,975","165,047","131,098","109,179","117,850",n.a.,"626,715","610,076","592,586","572,800","549,763","501,956","399,381","368,500","369,928"
341.,Volkswagen Osnabrück GmbH,Karmannstr. 1,Osnabrueck,Germany,2910,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"2,200","2,200","2,100","2,050","1,800","1,792",832,n.a.,n.a.
12.,Volkswagen Sachsen GmbH,Glauchauer Str. 40,Zwickau,Germany,2910,n.a.,n.a.,"5,800","5,100",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"10,150","10,250","8,100","8,100","7,500","6,200",n.a.,n.a.
44.,VSE Aktiengesellschaft,Heinrich-Boecking-Str. 10 -14,Saarbruecken,Germany,3510,n.a.,883,758,615,563,523,462,464,481,462,n.a.,272,272,274,258,315,336,333,330,338
198.,Vulkan Energiewirtschaft Oderbrücke GmbH,Jugendstr. 1,Eisenhuettenstadt,Germany,3511,n.a.,44,44,40,40,41,37,37,31,38,n.a.,248,246,242,246,244,244,237,226,217
51.,VW KRAFTWERK Gesellschaft mit beschränkter Haftung,Berliner Ring 2,Wolfsburg,Germany,3530,n.a.,n.a.,598,570,663,659,613,620,561,541,n.a.,n.a.,2,2,2,2,2,n.a.,n.a.,n.a.
76.,VYNOVA Wilhelmshaven GmbH,Inhausersieler Str. 25,Wilhelmshaven,Germany,2014,n.a.,332,338,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,337,334,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
381.,W. Euler Papierfabrik GmbH & Co. KG,,,Germany,1712,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3,3,3,n.a.,n.a.,3,n.a.,n.a.,n.a.
259.,Wacker Chemie AG,,,Australia,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
184.,Walhalla Kalk GmbH & Co. KG,Donaustaufer Str. 207,Regensburg,Germany,2352,n.a.,n.a.,50,32,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,94,101,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
357.,Walter Hundhausen GmbH,Ostendamm 23,Schwerte,Germany,2451,n.a.,n.a.,103,101,109,111,122,n.a.,n.a.,n.a.,490,490,490,533,538,578,n.a.,n.a.,n.a.,n.a.
81.,WALTER RAU Neusser Öl und Fett AG,Industriestr. 36 -40,Neuss,Germany,1041,n.a.,n.a.,301,281,267,334,371,262,317,403,n.a.,n.a.,196,182,173,183,189,177,181,178
322.,WALTHER DACHZIEGEL GMBH,Lohmuehle 3 -5,Langenzenn,Germany,2332,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,16,16,17,n.a.,n.a.,n.a.,130,126,133,135,137,140,n.a.
361.,Warsteiner Brauerei Haus Cramer KG,Domring 4 -10,Warstein,Germany,1105,n.a.,n.a.,n.a.,n.a.,n.a.,290,290,n.a.,n.a.,n.a.,850,850,850,850,900,900,900,n.a.,n.a.,n.a.
301.,Weck Glaswerk Gesellschaft mit beschränkter Haftung,Alter Heerweg 2,Bonn,Germany,2313,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,225,225,227,216,211,210,218,221
315.,WEKA Flugdienst GmbH,Roemerstr. 4,Kissing,Germany,7735,n.a.,n.a.,n.a.,0,0,0,0,0,1,1,n.a.,n.a.,n.a.,1,1,1,1,1,1,n.a.
151.,Wella Manufacturing GmbH,Wellastr. 2-4,Hunfeld,Germany,4645,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
307.,Wendel GmbH,Am Gueterbahnhof 30,Dillenburg,Germany,2349,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,124,122,118,112,110,110,109,117,124
249.,"WEP Wärme-, Energie- und Prozesstechnik GmbH",Sophiastr. 2,Hueckelhoven,Germany,3530,n.a.,1,44,39,41,28,22,19,19,17,n.a.,65,63,62,55,52,43,38,37,36
38.,Wepa Hygieneprodukte GmbH,Roenkhauser Str. 26,Arnsberg,Germany,1722,n.a.,n.a.,956,890,867,855,882,888,809,610,n.a.,n.a.,"2,816","2,620","2,568","2,663","2,728","2,758","2,655","1,943"
363.,Wepa Kraftwerk GmbH,Roenkhauser Str. 26,Arnsberg,Germany,3821,n.a.,12,12,n.a.,n.a.,0,n.a.,n.a.,n.a.,n.a.,2,2,2,2,2,2,n.a.,n.a.,n.a.,n.a.
364.,Wepa Leuna GmbH,Roenkhauser Str. 26,Arnsberg,Germany,1722,n.a.,88,68,n.a.,82,80,80,n.a.,n.a.,n.a.,195,195,195,195,195,177,177,n.a.,n.a.,n.a.
343.,Wepa Papierfabrik Sachsen GmbH,An der Zschopau 2,Kriebstein,Germany,1722,n.a.,104,99,n.a.,94,98,n.a.,n.a.,n.a.,n.a.,180,180,180,180,180,200,n.a.,n.a.,n.a.,n.a.
385.,Wernesgrüner Brauerei GmbH,Bergstr. 4,Steinberg,Germany,1105,n.a.,n.a.,62,62,61,65,67,n.a.,n.a.,n.a.,110,110,110,110,112,112,n.a.,n.a.,n.a.,n.a.
262.,Wernsing Feinkost GmbH,,,Germany,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
105.,Werra Papier Wernshausen GmbH,Unterm Bahnhof 10,Schmalkalden,Germany,1722,n.a.,n.a.,196,177,182,60,56,44,37,39,n.a.,n.a.,255,253,254,122,114,110,111,109
295.,Werther Klinkerwerk GmbH & Co.,Ziegelstr. 26,Werther,Germany,6820,n.a.,n.a.,n.a.,n.a.,0,0,0,0,n.a.,n.a.,n.a.,n.a.,1,1,1,1,n.a.,n.a.,n.a.,n.a.
83.,Weser-Metall GmbH,Johannastr. 2,Nordenham,Germany,2445,n.a.,n.a.,278,303,325,344,337,273,196,238,n.a.,n.a.,274,273,261,250,247,257,241,235
98.,Westag & Getalit Aktiengesellschaft,Hellweg 15,Rheda Wiedenbruck,Germany,1621,n.a.,234,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,"1,308",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
371.,Westerw.Thonindustrie - Dr. C. Otto Feuerfest GmbH,Rheinstr. 113 -120,Ransbach-Baumbach,Germany,2340,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,27,n.a.,n.a.,n.a.,192,192,192,192,192,192,192,n.a.,n.a.,n.a.
237.,Westerwälder Blumentopffabrik Spang GmbH & Co KG,Hafenplatz 1,Muenster,Germany,3530,n.a.,n.a.,8,8,9,9,8,8,8,9,n.a.,n.a.,7,7,7,7,7,7,7,7
273.,Westfalische Wilhelms-Universitat Munster,Schlossplatz 2,Munster,Germany,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
349.,Wiegand-Glashüttenwerke GmbH,Otto-Wiegand-Str. 9,Steinbach,Germany,2313,n.a.,n.a.,n.a.,n.a.,n.a.,134,112,119,107,41,n.a.,n.a.,n.a.,n.a.,615,610,n.a.,600,392,173
299.,WIEGLA GmbH,Rheingaustr. 62,Wiesbaden,Germany,4673,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,73,61,62,56,n.a.,n.a.,n.a.,n.a.
